deal_name,cik,accession,period_end,n_assets,period_chargeoff,period_recovery,period_net_loss,period_end_balance,cum_net_loss,original_pool_balance,cum_net_loss_rate
AmeriCredit Auto Receivables 2023-1 (subprime),0,sample-048,2027-02-28,7999,562537.47,112507.49,450029.98,150985218.69,107949241.57,1370000000.0,0.078795
AmeriCredit Auto Receivables 2023-1 (subprime),0,sample-049,2027-03-31,7333,428471.09,85694.22,342776.87,133390205.51,108292018.45,1370000000.0,0.079045
AmeriCredit Auto Receivables 2023-1 (subprime),0,sample-050,2027-04-30,6666,303910.55,60782.11,243128.44,116315931.74,108535146.88,1370000000.0,0.079223
AmeriCredit Auto Receivables 2023-1 (subprime),0,sample-051,2027-05-31,6000,240978.44,48195.69,192782.75,99802386.13,108727929.64,1370000000.0,0.079363
AmeriCredit Auto Receivables 2023-1 (subprime),0,sample-052,2027-06-30,5333,316140.53,63228.11,252912.42,83897958.59,108980842.06,1370000000.0,0.079548
AmeriCredit Auto Receivables 2023-1 (subprime),0,sample-053,2027-07-31,4666,279038.89,55807.78,223231.11,68662651.01,109204073.17,1370000000.0,0.079711
AmeriCredit Auto Receivables 2023-1 (subprime),0,sample-054,2027-08-31,3999,167429.42,33485.88,133943.54,54173257.04,109338016.71,1370000000.0,0.079809
AmeriCredit Auto Receivables 2023-1 (subprime),0,sample-055,2027-09-30,3333,130615.13,26123.03,104492.11,40532363.65,109442508.82,1370000000.0,0.079885
AmeriCredit Auto Receivables 2023-1 (subprime),0,sample-056,2027-10-31,2666,182392.64,36478.53,145914.11,27885701.41,109588422.93,1370000000.0,0.079992
AmeriCredit Auto Receivables 2023-1 (subprime),0,sample-057,2027-11-30,2000,57035.35,11407.07,45628.28,16461254.75,109634051.21,1370000000.0,0.080025
AmeriCredit Auto Receivables 2023-1 (subprime),0,sample-058,2027-12-31,2000,48934.81,9786.96,39147.85,6685346.81,109673199.06,1370000000.0,0.080053
AmeriCredit Auto Receivables 2023-1 (subprime),0,sample-059,2028-01-31,2000,98076.32,19615.26,78461.05,0.0,109751660.11,1370000000.0,0.080111
Santander Drive Auto Receivables 2022-2 (subprime),0,sample-000,2022-04-30,40000,0.0,0.0,0.0,1193633008.83,0.0,1220000000.0,0.0
Santander Drive Auto Receivables 2022-2 (subprime),0,sample-001,2022-05-31,39333,387520.56,77504.11,310016.45,1167399752.25,310016.45,1220000000.0,0.000254
Santander Drive Auto Receivables 2022-2 (subprime),0,sample-002,2022-06-30,38666,461582.91,92316.58,369266.33,1141301840.31,679282.77,1220000000.0,0.000557
Santander Drive Auto Receivables 2022-2 (subprime),0,sample-003,2022-07-31,38000,550260.04,110052.01,440208.03,1115340930.92,1119490.8,1220000000.0,0.000918
Santander Drive Auto Receivables 2022-2 (subprime),0,sample-004,2022-08-31,37333,654550.04,130910.01,523640.03,1089518732.21,1643130.84,1220000000.0,0.001347
Santander Drive Auto Receivables 2022-2 (subprime),0,sample-005,2022-09-30,36666,777737.03,155547.41,622189.62,1063837004.99,2265320.46,1220000000.0,0.001857
Santander Drive Auto Receivables 2022-2 (subprime),0,sample-006,2022-10-31,36000,923535.13,184707.03,738828.11,1038297565.34,3004148.56,1220000000.0,0.002462
Santander Drive Auto Receivables 2022-2 (subprime),0,sample-007,2022-11-30,35333,1095482.42,219096.48,876385.94,1012902287.44,3880534.5,1220000000.0,0.003181
Santander Drive Auto Receivables 2022-2 (subprime),0,sample-008,2022-12-31,34666,1298724.72,259744.94,1038979.78,987653106.57,4919514.28,1220000000.0,0.004032
Santander Drive Auto Receivables 2022-2 (subprime),0,sample-009,2023-01-31,34000,1529166.11,305833.22,1223332.89,962552022.35,6142847.17,1220000000.0,0.005035
Santander Drive Auto Receivables 2022-2 (subprime),0,sample-010,2023-02-28,33333,1804299.23,360859.85,1443439.38,937601102.21,7586286.55,1220000000.0,0.006218
Santander Drive Auto Receivables 2022-2 (subprime),0,sample-011,2023-03-31,32666,2117242.22,423448.44,1693793.77,912802485.07,9280080.33,1220000000.0,0.007607
Santander Drive Auto Receivables 2022-2 (subprime),0,sample-012,2023-04-30,32000,2477960.16,495592.03,1982368.13,888158385.43,11262448.46,1220000000.0,0.009232
Santander Drive Auto Receivables 2022-2 (subprime),0,sample-013,2023-05-31,31333,2894296.9,578859.38,2315437.52,863671097.62,13577885.97,1220000000.0,0.011129
Santander Drive Auto Receivables 2022-2 (subprime),0,sample-014,2023-06-30,30666,3355147.38,671029.48,2684117.91,839343000.5,16262003.88,1220000000.0,0.01333
Santander Drive Auto Receivables 2022-2 (subprime),0,sample-015,2023-07-31,30000,3876067.79,775213.56,3100854.23,815176562.54,19362858.11,1220000000.0,0.015871
Santander Drive Auto Receivables 2022-2 (subprime),0,sample-016,2023-08-31,29333,4430802.26,886160.45,3544641.81,791174347.28,22907499.92,1220000000.0,0.018777
Santander Drive Auto Receivables 2022-2 (subprime),0,sample-017,2023-09-30,28666,5033931.45,1006786.29,4027145.16,767339019.29,26934645.08,1220000000.0,0.022078
Santander Drive Auto Receivables 2022-2 (subprime),0,sample-018,2023-10-31,28000,5681814.59,1136362.92,4545451.67,743673350.62,31480096.75,1220000000.0,0.025803
Santander Drive Auto Receivables 2022-2 (subprime),0,sample-019,2023-11-30,27333,6353788.34,1270757.67,5083030.67,720180227.88,36563127.43,1220000000.0,0.02997
Santander Drive Auto Receivables 2022-2 (subprime),0,sample-020,2023-12-31,26666,7023496.61,1404699.32,5618797.28,696862659.96,42181924.71,1220000000.0,0.034575
Santander Drive Auto Receivables 2022-2 (subprime),0,sample-021,2024-01-31,26000,7651528.66,1530305.73,6121222.93,673723786.42,48303147.64,1220000000.0,0.039593
Santander Drive Auto Receivables 2022-2 (subprime),0,sample-022,2024-02-29,25333,8274234.5,1654846.9,6619387.6,650766886.79,54922535.23,1220000000.0,0.045018
Santander Drive Auto Receivables 2022-2 (subprime),0,sample-023,2024-03-31,24666,8806960.08,1761392.02,7045568.07,627995390.73,61968103.3,1220000000.0,0.050794
Santander Drive Auto Receivables 2022-2 (subprime),0,sample-024,2024-04-30,24000,9294470.57,1858894.11,7435576.45,605412889.22,69403679.75,1220000000.0,0.056888
Santander Drive Auto Receivables 2022-2 (subprime),0,sample-025,2024-05-31,23333,9590191.22,1918038.24,7672152.98,583023147.01,77075832.73,1220000000.0,0.063177
Santander Drive Auto Receivables 2022-2 (subprime),0,sample-026,2024-06-30,22666,9669160.17,1933832.03,7735328.14,560830116.34,84811160.87,1220000000.0,0.069517
Santander Drive Auto Receivables 2022-2 (subprime),0,sample-027,2024-07-31,22000,9683843.45,1936768.69,7747074.76,538837952.22,92558235.63,1220000000.0,0.075867
Santander Drive Auto Receivables 2022-2 (subprime),0,sample-028,2024-08-31,21333,9483050.55,1896610.11,7586440.44,517051029.47,100144676.07,1220000000.0,0.082086
Santander Drive Auto Receivables 2022-2 (subprime),0,sample-029,2024-09-30,20666,9210038.08,1842007.62,7368030.46,495473961.78,107512706.53,1220000000.0,0.088125
Santander Drive Auto Receivables 2022-2 (subprime),0,sample-030,2024-10-31,20000,8818995.73,1763799.15,7055196.59,474111623.14,114567903.12,1220000000.0,0.093908
Santander Drive Auto Receivables 2022-2 (subprime),0,sample-031,2024-11-30,19333,8331774.03,1666354.81,6665419.23,452969171.95,121233322.35,1220000000.0,0.099372
Santander Drive Auto Receivables 2022-2 (subprime),0,sample-032,2024-12-31,18666,7640861.29,1528172.26,6112689.03,432052078.32,127346011.38,1220000000.0,0.104382
Santander Drive Auto Receivables 2022-2 (subprime),0,sample-033,2025-01-31,18000,6991018.23,1398203.65,5592814.58,411366155.12,132938825.96,1220000000.0,0.108966
Santander Drive Auto Receivables 2022-2 (subprime),0,sample-034,2025-02-28,17333,6241110.08,1248222.02,4992888.06,390917593.39,137931714.02,1220000000.0,0.113059
Santander Drive Auto Receivables 2022-2 (subprime),0,sample-035,2025-03-31,16666,5673399.82,1134679.96,4538719.85,370713002.95,142470433.88,1220000000.0,0.116779
Santander Drive Auto Receivables 2022-2 (subprime),0,sample-036,2025-04-30,16000,4979119.96,995823.99,3983295.97,350759459.35,146453729.84,1220000000.0,0.120044
Santander Drive Auto Receivables 2022-2 (subprime),0,sample-037,2025-05-31,15333,4397694.62,879538.92,3518155.7,331064558.19,149971885.54,1220000000.0,0.122928
Santander Drive Auto Receivables 2022-2 (subprime),0,sample-038,2025-06-30,14666,3812837.98,762567.6,3050270.39,311636478.62,153022155.93,1220000000.0,0.125428
Santander Drive Auto Receivables 2022-2 (subprime),0,sample-039,2025-07-31,14000,3343337.61,668667.52,2674670.09,292484057.95,155696826.02,1220000000.0,0.12762
Santander Drive Auto Receivables 2022-2 (subprime),0,sample-040,2025-08-31,13333,2782982.12,556596.42,2226385.7,273616880.0,157923211.72,1220000000.0,0.129445
Santander Drive Auto Receivables 2022-2 (subprime),0,sample-041,2025-09-30,12666,2388018.91,477603.78,1910415.13,255045380.51,159833626.84,1220000000.0,0.131011
Santander Drive Auto Receivables 2022-2 (subprime),0,sample-042,2025-10-31,12000,2244442.48,448888.5,1795553.98,236780974.15,161629180.83,1220000000.0,0.132483
Santander Drive Auto Receivables 2022-2 (subprime),0,sample-043,2025-11-30,11333,1723127.13,344625.43,1378501.7,218836208.97,163007682.53,1220000000.0,0.133613
Santander Drive Auto Receivables 2022-2 (subprime),0,sample-044,2025-12-31,10666,1461447.02,292289.4,1169157.62,201224956.39,164176840.14,1220000000.0,0.134571
Santander Drive Auto Receivables 2022-2 (subprime),0,sample-045,2026-01-31,10000,1408598.75,281719.75,1126879.0,183962647.69,165303719.15,1220000000.0,0.135495
Santander Drive Auto Receivables 2022-2 (subprime),0,sample-046,2026-02-28,9333,1275797.88,255159.58,1020638.3,167066572.64,166324357.45,1220000000.0,0.136331
Santander Drive Auto Receivables 2022-2 (subprime),0,sample-047,2026-03-31,8666,850088.04,170017.61,680070.43,150556262.5,167004427.87,1220000000.0,0.136889
Santander Drive Auto Receivables 2022-2 (subprime),0,sample-048,2026-04-30,7999,754259.44,150851.89,603407.55,134453990.37,167607835.42,1220000000.0,0.137383
Santander Drive Auto Receivables 2022-2 (subprime),0,sample-049,2026-05-31,7333,675316.64,135063.33,540253.31,118785438.48,168148088.73,1220000000.0,0.137826
Santander Drive Auto Receivables 2022-2 (subprime),0,sample-050,2026-06-30,6666,658748.88,131749.78,526999.1,103580610.75,168675087.83,1220000000.0,0.138258
Santander Drive Auto Receivables 2022-2 (subprime),0,sample-051,2026-07-31,6000,398482.6,79696.52,318786.08,88875117.57,168993873.91,1220000000.0,0.13852
Santander Drive Auto Receivables 2022-2 (subprime),0,sample-052,2026-08-31,5333,371004.05,74200.81,296803.24,74712050.71,169290677.16,1220000000.0,0.138763
Santander Drive Auto Receivables 2022-2 (subprime),0,sample-053,2026-09-30,4666,373509.09,74701.82,298807.27,61144842.5,169589484.43,1220000000.0,0.139008
Santander Drive Auto Receivables 2022-2 (subprime),0,sample-054,2026-10-31,3999,299164.53,59832.91,239331.62,48241878.53,169828816.06,1220000000.0,0.139204
Santander Drive Auto Receivables 2022-2 (subprime),0,sample-055,2026-11-30,3333,203245.65,40649.13,162596.52,36094513.61,169991412.57,1220000000.0,0.139337
Santander Drive Auto Receivables 2022-2 (subprime),0,sample-056,2026-12-31,2666,181626.19,36325.24,145300.95,24832522.42,170136713.53,1220000000.0,0.139456
Santander Drive Auto Receivables 2022-2 (subprime),0,sample-057,2027-01-31,2000,71144.02,14228.8,56915.22,14658927.59,170193628.74,1220000000.0,0.139503
Santander Drive Auto Receivables 2022-2 (subprime),0,sample-058,2027-02-28,2000,117774.59,23554.92,94219.67,5953374.53,170287848.41,1220000000.0,0.13958
Santander Drive Auto Receivables 2022-2 (subprime),0,sample-059,2027-03-31,2000,94165.33,18833.07,75332.26,0.0,170363180.68,1220000000.0,0.139642
Santander Drive Auto Receivables 2023-2 (subprime),0,sample-000,2023-05-31,40000,0.0,0.0,0.0,970560610.46,0.0,992000000.0,0.0
Santander Drive Auto Receivables 2023-2 (subprime),0,sample-001,2023-06-30,39333,292531.85,58506.37,234025.48,949229962.49,234025.48,992000000.0,0.000236
Santander Drive Auto Receivables 2023-2 (subprime),0,sample-002,2023-07-31,38666,348695.65,69739.13,278956.52,928009365.23,512982.0,992000000.0,0.000517
Santander Drive Auto Receivables 2023-2 (subprime),0,sample-003,2023-08-31,38000,415662.18,83132.44,332529.75,906900166.78,845511.74,992000000.0,0.000852
Santander Drive Auto Receivables 2023-2 (subprime),0,sample-004,2023-09-30,37333,494705.85,98941.17,395764.68,885903756.03,1241276.42,992000000.0,0.001251
Santander Drive Auto Receivables 2023-2 (subprime),0,sample-005,2023-10-31,36666,589655.67,117931.13,471724.53,865021564.72,1713000.95,992000000.0,0.001727
Santander Drive Auto Receivables 2023-2 (subprime),0,sample-006,2023-11-30,36000,700452.31,140090.46,560361.85,844255069.52,2273362.8,992000000.0,0.002292
Santander Drive Auto Receivables 2023-2 (subprime),0,sample-007,2023-12-31,35333,829789.6,165957.92,663831.68,823605794.37,2937194.49,992000000.0,0.002961
Santander Drive Auto Receivables 2023-2 (subprime),0,sample-008,2024-01-31,34666,980666.34,196133.27,784533.07,803075312.88,3721727.56,992000000.0,0.003752
Santander Drive Auto Receivables 2023-2 (subprime),0,sample-009,2024-02-29,34000,1157227.2,231445.44,925781.76,782665250.96,4647509.32,992000000.0,0.004685
Santander Drive Auto Receivables 2023-2 (subprime),0,sample-010,2024-03-31,33333,1367579.56,273515.91,1094063.65,762377289.66,5741572.97,992000000.0,0.005788
Santander Drive Auto Receivables 2023-2 (subprime),0,sample-011,2024-04-30,32666,1604373.47,320874.69,1283498.78,742213168.19,7025071.75,992000000.0,0.007082
Santander Drive Auto Receivables 2023-2 (subprime),0,sample-012,2024-05-31,32000,1878412.68,375682.54,1502730.14,722174687.17,8527801.89,992000000.0,0.008597
Santander Drive Auto Receivables 2023-2 (subprime),0,sample-013,2024-06-30,31333,2180941.45,436188.29,1744753.16,702263712.16,10272555.05,992000000.0,0.010355
Santander Drive Auto Receivables 2023-2 (subprime),0,sample-014,2024-07-31,30666,2540177.39,508035.48,2032141.91,682482177.45,12304696.96,992000000.0,0.012404
Santander Drive Auto Receivables 2023-2 (subprime),0,sample-015,2024-08-31,30000,2927978.2,585595.64,2342382.56,662832090.2,14647079.52,992000000.0,0.014765
Santander Drive Auto Receivables 2023-2 (subprime),0,sample-016,2024-09-30,29333,3345486.76,669097.35,2676389.41,643315534.84,17323468.93,992000000.0,0.017463
Santander Drive Auto Receivables 2023-2 (subprime),0,sample-017,2024-10-31,28666,3808560.47,761712.09,3046848.38,623934677.98,20370317.31,992000000.0,0.020535
Santander Drive Auto Receivables 2023-2 (subprime),0,sample-018,2024-11-30,28000,4301435.97,860287.19,3441148.78,604691773.62,23811466.09,992000000.0,0.024003
Santander Drive Auto Receivables 2023-2 (subprime),0,sample-019,2024-12-31,27333,4804015.5,960803.1,3843212.4,585589168.9,27654678.49,992000000.0,0.027878
Santander Drive Auto Receivables 2023-2 (subprime),0,sample-020,2025-01-31,26666,5306643.71,1061328.74,4245314.97,566629310.39,31899993.45,992000000.0,0.032157
Santander Drive Auto Receivables 2023-2 (subprime),0,sample-021,2025-02-28,26000,5799910.76,1159982.15,4639928.6,547814750.93,36539922.06,992000000.0,0.036835
Santander Drive Auto Receivables 2023-2 (subprime),0,sample-022,2025-03-31,25333,6253881.38,1250776.28,5003105.11,529148157.13,41543027.16,992000000.0,0.041878
Santander Drive Auto Receivables 2023-2 (subprime),0,sample-023,2025-04-30,24666,6660187.36,1332037.47,5328149.89,510632317.7,46871177.05,992000000.0,0.047249
Santander Drive Auto Receivables 2023-2 (subprime),0,sample-024,2025-05-31,24000,7009459.35,1401891.87,5607567.48,492270152.54,52478744.54,992000000.0,0.052902
Santander Drive Auto Receivables 2023-2 (subprime),0,sample-025,2025-06-30,23333,7154475.67,1430895.13,5723580.54,474064722.82,58202325.07,992000000.0,0.058672
Santander Drive Auto Receivables 2023-2 (subprime),0,sample-026,2025-07-31,22666,7316287.29,1463257.46,5853029.83,456019242.14,64055354.91,992000000.0,0.064572
Santander Drive Auto Receivables 2023-2 (subprime),0,sample-027,2025-08-31,22000,7326083.44,1465216.69,5860866.75,438137089.02,69916221.66,992000000.0,0.07048
Santander Drive Auto Receivables 2023-2 (subprime),0,sample-028,2025-09-30,21333,7213209.69,1442641.94,5770567.75,420421820.68,75686789.41,992000000.0,0.076297
Santander Drive Auto Receivables 2023-2 (subprime),0,sample-029,2025-10-31,20666,6967395.86,1393479.17,5573916.69,402877188.59,81260706.1,992000000.0,0.081916
Santander Drive Auto Receivables 2023-2 (subprime),0,sample-030,2025-11-30,20000,6598318.79,1319663.76,5278655.03,385507155.86,86539361.13,992000000.0,0.087237
Santander Drive Auto Receivables 2023-2 (subprime),0,sample-031,2025-12-31,19333,6263275.94,1252655.19,5010620.75,368315916.86,91549981.88,992000000.0,0.092288
Santander Drive Auto Receivables 2023-2 (subprime),0,sample-032,2026-01-31,18666,5858674.6,1171734.92,4686939.68,351307919.42,96236921.56,992000000.0,0.097013
Santander Drive Auto Receivables 2023-2 (subprime),0,sample-033,2026-02-28,18000,5250076.46,1050015.29,4200061.16,334487890.07,100436982.73,992000000.0,0.101247
Santander Drive Auto Receivables 2023-2 (subprime),0,sample-034,2026-03-31,17333,4833070.08,966614.02,3866456.06,317860862.82,104303438.79,992000000.0,0.105145
Santander Drive Auto Receivables 2023-2 (subprime),0,sample-035,2026-04-30,16666,4283512.21,856702.44,3426809.76,301432212.24,107730248.55,992000000.0,0.108599
Santander Drive Auto Receivables 2023-2 (subprime),0,sample-036,2026-05-31,16000,3806662.02,761332.4,3045329.61,285207691.54,110775578.17,992000000.0,0.111669
Santander Drive Auto Receivables 2023-2 (subprime),0,sample-037,2026-06-30,15333,3304121.9,660824.38,2643297.52,269193476.82,113418875.69,992000000.0,0.114334
Santander Drive Auto Receivables 2023-2 (subprime),0,sample-038,2026-07-31,14666,2907143.6,581428.72,2325714.88,253396218.68,115744590.57,992000000.0,0.116678
Santander Drive Auto Receivables 2023-2 (subprime),0,sample-039,2026-08-31,14000,2590490.57,518098.11,2072392.46,237823102.86,117816983.02,992000000.0,0.118767
Santander Drive Auto Receivables 2023-2 (subprime),0,sample-040,2026-09-30,13333,2211031.0,442206.2,1768824.8,222481922.1,119585807.82,992000000.0,0.12055
Santander Drive Auto Receivables 2023-2 (subprime),0,sample-041,2026-10-31,12666,1953770.61,390754.12,1563016.48,207381161.86,121148824.3,992000000.0,0.122126
Santander Drive Auto Receivables 2023-2 (subprime),0,sample-042,2026-11-30,12000,1657159.52,331431.9,1325727.62,192530103.57,122474551.92,992000000.0,0.123462
Santander Drive Auto Receivables 2023-2 (subprime),0,sample-043,2026-12-31,11333,1385845.91,277169.18,1108676.73,177938950.24,123583228.65,992000000.0,0.12458
Santander Drive Auto Receivables 2023-2 (subprime),0,sample-044,2027-01-31,10666,1240700.09,248140.02,992560.07,163618980.94,124575788.72,992000000.0,0.12558
Santander Drive Auto Receivables 2023-2 (subprime),0,sample-045,2027-02-28,10000,1002786.22,200557.24,802228.98,149582743.04,125378017.69,992000000.0,0.126389
Santander Drive Auto Receivables 2023-2 (subprime),0,sample-046,2027-03-31,9333,869020.67,173804.13,695216.54,135844295.13,126073234.23,992000000.0,0.12709
Santander Drive Auto Receivables 2023-2 (subprime),0,sample-047,2027-04-30,8666,686053.01,137210.6,548842.41,122419518.36,126622076.63,992000000.0,0.127643
Santander Drive Auto Receivables 2023-2 (subprime),0,sample-048,2027-05-31,7999,592634.26,118526.85,474107.41,109326523.32,127096184.04,992000000.0,0.128121
Santander Drive Auto Receivables 2023-2 (subprime),0,sample-049,2027-06-30,7333,462437.26,92487.45,369949.81,96586192.6,127466133.86,992000000.0,0.128494
Santander Drive Auto Receivables 2023-2 (subprime),0,sample-050,2027-07-31,6666,463675.4,92735.08,370940.32,84222922.84,127837074.17,992000000.0,0.128868
Santander Drive Auto Receivables 2023-2 (subprime),0,sample-051,2027-08-31,6000,293004.65,58600.93,234403.72,72265669.37,128071477.89,992000000.0,0.129104
Santander Drive Auto Receivables 2023-2 (subprime),0,sample-052,2027-09-30,5333,330573.9,66114.78,264459.12,60749470.75,128335937.01,992000000.0,0.129371
Santander Drive Auto Receivables 2023-2 (subprime),0,sample-053,2027-10-31,4666,236427.11,47285.42,189141.69,49717773.58,128525078.7,992000000.0,0.129562
Santander Drive Auto Receivables 2023-2 (subprime),0,sample-054,2027-11-30,3999,262125.47,52425.09,209700.37,39226183.2,128734779.08,992000000.0,0.129773
Santander Drive Auto Receivables 2023-2 (subprime),0,sample-055,2027-12-31,3333,208488.59,41697.72,166790.87,29348981.56,128901569.95,992000000.0,0.129941
Santander Drive Auto Receivables 2023-2 (subprime),0,sample-056,2028-01-31,2666,232090.96,46418.19,185672.77,20191690.36,129087242.72,992000000.0,0.130128
Santander Drive Auto Receivables 2023-2 (subprime),0,sample-057,2028-02-29,2000,156017.0,31203.4,124813.6,11919390.3,129212056.32,992000000.0,0.130254
Santander Drive Auto Receivables 2023-2 (subprime),0,sample-058,2028-03-31,2000,25006.7,5001.34,20005.36,4840776.67,129232061.68,992000000.0,0.130274
Santander Drive Auto Receivables 2023-2 (subprime),0,sample-059,2028-04-30,2000,81173.05,16234.61,64938.44,0.0,129297000.12,992000000.0,0.13034
Exeter Automobile Receivables 2022-2 (subprime),0,sample-000,2022-04-30,40000,0.0,0.0,0.0,940230591.38,0.0,961000000.0,0.0
Exeter Automobile Receivables 2022-2 (subprime),0,sample-001,2022-05-31,39333,381368.49,76273.7,305094.79,919566526.16,305094.79,961000000.0,0.000317
Exeter Automobile Receivables 2022-2 (subprime),0,sample-002,2022-06-30,38666,454463.97,90892.79,363571.17,899009072.57,668665.96,961000000.0,0.000696
Exeter Automobile Receivables 2022-2 (subprime),0,sample-003,2022-07-31,38000,541402.38,108280.48,433121.91,878559536.57,1101787.87,961000000.0,0.001147
Exeter Automobile Receivables 2022-2 (subprime),0,sample-004,2022-08-31,37333,644900.52,128980.1,515920.41,858219263.65,1617708.28,961000000.0,0.001683
Exeter Automobile Receivables 2022-2 (subprime),0,sample-005,2022-09-30,36666,767691.61,153538.32,614153.29,837989640.82,2231861.57,961000000.0,0.002322
Exeter Automobile Receivables 2022-2 (subprime),0,sample-006,2022-10-31,36000,911546.55,182309.31,729237.24,817872098.6,2961098.81,961000000.0,0.003081
Exeter Automobile Receivables 2022-2 (subprime),0,sample-007,2022-11-30,35333,1076976.35,215395.27,861581.08,797868113.3,3822679.89,961000000.0,0.003978
Exeter Automobile Receivables 2022-2 (subprime),0,sample-008,2022-12-31,34666,1278249.28,255649.86,1022599.42,777979209.35,4845279.32,961000000.0,0.005042
Exeter Automobile Receivables 2022-2 (subprime),0,sample-009,2023-01-31,34000,1509268.68,301853.74,1207414.94,758206961.87,6052694.26,961000000.0,0.006298
Exeter Automobile Receivables 2022-2 (subprime),0,sample-010,2023-02-28,33333,1778894.31,355778.86,1423115.45,738552999.36,7475809.7,961000000.0,0.007779
Exeter Automobile Receivables 2022-2 (subprime),0,sample-011,2023-03-31,32666,2093619.75,418723.95,1674895.8,719019006.69,9150705.5,961000000.0,0.009522
Exeter Automobile Receivables 2022-2 (subprime),0,sample-012,2023-04-30,32000,2436186.56,487237.31,1948949.25,699606728.2,11099654.75,961000000.0,0.01155
Exeter Automobile Receivables 2022-2 (subprime),0,sample-013,2023-05-31,31333,2844454.1,568890.82,2275563.28,680317971.16,13375218.03,961000000.0,0.013918
Exeter Automobile Receivables 2022-2 (subprime),0,sample-014,2023-06-30,30666,3305383.3,661076.66,2644306.64,661154609.41,16019524.67,961000000.0,0.01667
Exeter Automobile Receivables 2022-2 (subprime),0,sample-015,2023-07-31,30000,3797380.37,759476.07,3037904.29,642118587.38,19057428.96,961000000.0,0.019831
Exeter Automobile Receivables 2022-2 (subprime),0,sample-016,2023-08-31,29333,4374714.1,874942.82,3499771.28,623211924.38,22557200.25,961000000.0,0.023473
Exeter Automobile Receivables 2022-2 (subprime),0,sample-017,2023-09-30,28666,4967550.33,993510.07,3974040.27,604436719.29,26531240.51,961000000.0,0.027608
Exeter Automobile Receivables 2022-2 (subprime),0,sample-018,2023-10-31,28000,5609175.61,1121835.12,4487340.49,585795155.69,31018581.0,961000000.0,0.032277
Exeter Automobile Receivables 2022-2 (subprime),0,sample-019,2023-11-30,27333,6249641.62,1249928.32,4999713.3,567289507.37,36018294.3,961000000.0,0.03748
Exeter Automobile Receivables 2022-2 (subprime),0,sample-020,2023-12-31,26666,6928772.09,1385754.42,5543017.67,548922144.44,41561311.97,961000000.0,0.043248
Exeter Automobile Receivables 2022-2 (subprime),0,sample-021,2024-01-31,26000,7577417.43,1515483.49,6061933.94,530695539.96,47623245.91,961000000.0,0.049556
Exeter Automobile Receivables 2022-2 (subprime),0,sample-022,2024-02-29,25333,8160657.79,1632131.56,6528526.23,512612277.22,54151772.15,961000000.0,0.056349
Exeter Automobile Receivables 2022-2 (subprime),0,sample-023,2024-03-31,24666,8683500.7,1736700.14,6946800.56,494675057.78,61098572.71,961000000.0,0.063578
Exeter Automobile Receivables 2022-2 (subprime),0,sample-024,2024-04-30,24000,9106345.87,1821269.17,7285076.7,476886710.28,68383649.41,961000000.0,0.071159
Exeter Automobile Receivables 2022-2 (subprime),0,sample-025,2024-05-31,23333,9371223.94,1874244.79,7496979.15,459250200.23,75880628.56,961000000.0,0.07896
Exeter Automobile Receivables 2022-2 (subprime),0,sample-026,2024-06-30,22666,9541323.36,1908264.67,7633058.69,441768640.82,83513687.25,961000000.0,0.086903
Exeter Automobile Receivables 2022-2 (subprime),0,sample-027,2024-07-31,22000,9540307.54,1908061.51,7632246.03,424445304.99,91145933.28,961000000.0,0.094845
Exeter Automobile Receivables 2022-2 (subprime),0,sample-028,2024-08-31,21333,9406702.8,1881340.56,7525362.24,407283638.79,98671295.52,961000000.0,0.102676
Exeter Automobile Receivables 2022-2 (subprime),0,sample-029,2024-09-30,20666,9137751.36,1827550.27,7310201.09,390287276.45,105981496.61,961000000.0,0.110283
Exeter Automobile Receivables 2022-2 (subprime),0,sample-030,2024-10-31,20000,8635199.44,1727039.89,6908159.55,373460057.24,112889656.16,961000000.0,0.117471
Exeter Automobile Receivables 2022-2 (subprime),0,sample-031,2024-11-30,19333,8150082.61,1630016.52,6520066.09,356806044.46,119409722.24,961000000.0,0.124256
Exeter Automobile Receivables 2022-2 (subprime),0,sample-032,2024-12-31,18666,7629953.98,1525990.8,6103963.19,340329546.94,125513685.43,961000000.0,0.130607
Exeter Automobile Receivables 2022-2 (subprime),0,sample-033,2025-01-31,18000,6886065.2,1377213.04,5508852.16,324035143.5,131022537.59,961000000.0,0.13634
Exeter Automobile Receivables 2022-2 (subprime),0,sample-034,2025-02-28,17333,6218840.36,1243768.07,4975072.29,307927710.86,135997609.87,961000000.0,0.141517
Exeter Automobile Receivables 2022-2 (subprime),0,sample-035,2025-03-31,16666,5613088.38,1122617.68,4490470.7,292012455.6,140488080.57,961000000.0,0.146189
Exeter Automobile Receivables 2022-2 (subprime),0,sample-036,2025-04-30,16000,5013235.7,1002647.14,4010588.56,276294951.18,144498669.13,961000000.0,0.150363
Exeter Automobile Receivables 2022-2 (subprime),0,sample-037,2025-05-31,15333,4369061.51,873812.3,3495249.21,260781180.67,147993918.34,961000000.0,0.154
Exeter Automobile Receivables 2022-2 (subprime),0,sample-038,2025-06-30,14666,3887585.54,777517.11,3110068.43,245477586.85,151103986.77,961000000.0,0.157236
Exeter Automobile Receivables 2022-2 (subprime),0,sample-039,2025-07-31,14000,3356249.01,671249.8,2684999.2,230391130.9,153788985.97,961000000.0,0.16003
